,0
Device Orders_Office,0.011299435
Total Visits,1.06779661
New Visitors,0.661016949
Enter PDP from Office.com,0.073446328
Enter PDP from Store,0.361581921
Enter PDP from O365 Web,0.316384181
Time Spent per Visit (seconds),597.0147235
Average Time Spent on Page (seconds),82.69484392
Link Clicks (e4),38.84180791
Link Clicks on TechSpecsTab,0.02259887
Link Clicks on ReviewTab,0.005649718
Link Clicks on FAQTab,0.011299435
Link Clicks on AddtoCartButton,0.288135593
Link Clicks on Trial link,0.129943503
cluster2,0
cluster2_corrected,1
