,0
Paid Order Exists,0.25
Try Exists,0.25
Device Orders_Office,1.0
Total Visits,1.0
New Visitors,0.3333333333333333
Return Visitors,0.6666666666666666
Enter PDP from Office.com,0.08333333333333333
Enter PDP from Store,0.16666666666666666
Enter PDP from O365 Web,0.4166666666666667
Time Spent per Visit (seconds),686.0909090909091
Average Time Spent on Page (seconds),39.125
Link Clicks (e4),31.083333333333332
Link Clicks on OverviewTab,0.0
Link Clicks on TechSpecsTab,0.0
Link Clicks on ReviewTab,0.0
Link Clicks on FAQTab,0.0
Link Clicks on AddtoCartButton,0.08333333333333333
Link Clicks on Trial link,0.25
cluster4,3.0
