#=================================================================
# O365 Home - Try
# Date: May 20 2019 - May 21 2019
"# Segments: Vtr: Non-Microsoft Traffic, Exclude Revenue > 10000, Market - EN-US, Free Revenue"
#=================================================================


##############################################
# Metrics - No Device orders
##############################################
,Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit)
,Order Exists,Order Exists,Visits,New Visitors,Return Visitors,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Time Spent per Visit (seconds),Delocalized O365 Home (HIT),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),RPV (Revenue/Visitor)
,Visits,Visits,Visits,New Visitors,Return Visitors,Office.com,Store,O365 Web,O&O,Direct,Organic Search,Paid Search,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton,products.office.com/*-*/try,RPV (Revenue/Visitor)
,Paid Orders_SJ (Visit),Free Revenue,Visits,New Visitors,Return Visitors,Office.com,Store,O365 Web,O&O,Direct,Organic Search,Paid Search,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton,products.office.com/*-*/try,RPV (Revenue/Visitor)
MC1 (Visitor ID) (v10),0,315,25218,14307,8447,1245,15574,5399,6019,8559,4836,1966,331.9209416891668,110.649714149595,197239,154,625,217,348,1919,2013,0
(Low Traffic),0,205,24083,14072,7859,1208,15171,5024,5542,8236,4664,1905,281.57449040767386,111.37427206700255,142163,125,497,159,295,1411,1362,0
6a146170f75d45339b264ea59bb1e831,0,1,5,0,1,0,1,1,3,1,0,1,364,27,10,0,0,0,0,0,0,0
2948611dc47e42d68de769fefcb88fb2,0,1,3,1,0,0,3,0,0,0,0,3,328.5,185.5,93,0,0,0,0,0,0,0
a3cb1703f17e4ece9e543f957c2ea5ef,0,1,2,1,0,0,1,1,1,1,0,0,1819.5,36.5,254,0,0,0,0,0,0,0
36a7a8446ee44c288a974ed6124139e4,0,1,2,1,0,0,0,1,1,1,0,0,1047,,168,0,0,0,0,0,2,0
32798f4f24fa44c6bfa7e8418861aed9,0,1,2,0,1,0,1,0,0,2,0,0,967.5,25,68,0,0,0,0,1,0,0
