#=================================================================
# O365 Home - All users _6_7
# Date: May 20 2019 - May 21 2019
"# Segments: Vtr: Non-Microsoft Traffic, Exclude Revenue > 10000, Market - EN-US"
#=================================================================


##############################################
# Metrics - No Device orders
##############################################
,Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit)
,Order Exists,Order Exists,Visits,New Visitors,Return Visitors,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Time Spent per Visit (seconds),Delocalized O365 Home (HIT),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),RPV (Revenue/Visitor)
,Visits,Visits,Visits,New Visitors,Return Visitors,Office.com,Store,O365 Web,O&O,Direct,Organic Search,Paid Search,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton,products.office.com/*-*/try,RPV (Revenue/Visitor)
,Paid Orders_SJ (Visit),Free Revenue,Visits,New Visitors,Return Visitors,Office.com,Store,O365 Web,O&O,Direct,Organic Search,Paid Search,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton,products.office.com/*-*/try,RPV (Revenue/Visitor)
MC1 (Visitor ID) (v10),1148,315,26825,15233,9009,1335,16146,5788,6608,9066,5061,2218,370.4206671373103,110.8185074955908,259720,164,670,229,370,2892,2258,3.000651348898606
a39e8a8ef1f543f0afce49dd9569b2e3,0,0,1,0,1,0,0,1,1,0,0,0,13,,2,0,0,0,0,0,0,0
13db4f831bce4a00ae234c599bd07c38,0,0,1,0,1,0,0,1,1,0,0,0,12,,1,0,0,0,0,0,0,0
187856154c8c43ae88979ae66bb1ee09,0,0,1,0,1,0,0,1,1,0,0,0,11,5,2,0,0,0,0,0,0,0
ed877ffeef5b1b43810dbca1973a67a3,0,0,1,0,1,0,0,1,1,0,0,0,11,,4,0,0,0,0,0,0,0
ee3763c118df4464babcc4b257fbb12d,0,0,1,0,1,0,0,1,1,0,0,0,11,,3,0,0,0,0,0,0,0
375bf6ecbfe945c8b271d1c01fbdf7fa,0,0,1,0,1,0,0,1,1,0,0,0,11,,3,0,0,0,0,0,0,0
