#=================================================================
# O365 Personal - All users _6_7
# Date: May 20 2019 - May 21 2019
"# Segments: Vtr: Non-Microsoft Traffic, Exclude Revenue > 10000, Market - EN-US, Delocalized O365 Personal (Visit)"
#=================================================================


##############################################
# Metrics - No Device orders
##############################################
,Order Exists,Order Exists,Visits,New Visitors,Return Visitors,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Time Spent per Visit (seconds),Delocalized O365 Personal (HIT),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),RPV (Revenue/Visitor)
,Visits,Visits,Visits,New Visitors,Return Visitors,Office.com,Store,O365 Web,O&O,Direct,Organic Search,Paid Search,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton,products.office.com/*-*/try,RPV (Revenue/Visitor)
,Paid Orders_SJ (Visit),Free Revenue,Visits,New Visitors,Return Visitors,Office.com,Store,O365 Web,O&O,Direct,Organic Search,Paid Search,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton,products.office.com/*-*/try,RPV (Revenue/Visitor)
MC1 (Visitor ID) (v10),1610,160,17116,10185,5681,920,7463,5008,7003,3360,3165,2276,480.468264536174,111.7221300597213,276084,147,684,296,366,3685,1399,5.705851506365814
df961ccd3462407197800bfac8abdec9,0,0,2,1,0,0,0,2,2,0,0,0,737,118,38,0,0,0,0,1,0,0
e889f255114745a882d228d270824635,0,0,2,1,0,0,0,2,2,0,0,0,458,10.666666666666666,469,0,0,0,0,0,0,0
79b1a6fecc474077837e80050692fe45,0,0,2,1,0,0,0,2,2,0,0,0,294.5,28,88,0,0,0,0,2,0,0
3fdba58b1885471d91722f37ab77d7f1,0,0,2,1,0,0,0,2,2,0,0,0,266,,56,0,0,0,0,0,2,0
eba9c8ecf1ff4c11bc64626f1fee05b5,0,0,2,1,0,0,0,2,2,0,0,0,234.5,119.5,1,0,0,0,0,0,0,0
c92cf0bbf9b04c2b9e48b6f703008f65,0,0,2,1,0,0,0,2,2,0,0,0,188,,24,0,0,0,0,0,0,0
fedc75b17f734fd98b139c2a4e6be520,0,0,2,1,0,0,0,2,2,0,0,0,114,,153,0,0,0,0,0,0,0
4e6d30a9b8bf46aaa3212641c165005c,0,0,2,1,0,0,0,2,2,0,0,0,29,11.5,22,0,0,0,0,0,0,0
92787ab5a7414aac9d16fbe1078ed97b,0,0,2,1,0,0,0,2,2,0,0,0,12.5,,4,0,0,0,0,0,0,0
631b2801cf4d45cebf685c7a1a59d71c,0,0,2,1,0,0,0,2,2,0,0,0,,,0,0,0,0,0,0,0,0
738bccce96104f05aad9c65ffbe76d20,0,0,2,1,0,0,0,2,1,0,0,1,7,,4,0,0,0,0,0,0,0
49ca3f468afc495285f9053bfeb8cc29,0,0,2,1,0,0,0,2,0,2,0,0,562,10.75,73,0,0,0,0,0,0,0
4ca002367e2e4c05bad2cc7a88483a50,0,0,2,1,0,0,0,2,0,1,1,0,1056,407,50,0,0,0,0,1,0,0
e7afe2a7769d477480232f3325ab0c1d,0,0,2,1,0,0,0,2,0,1,1,0,225,,38,0,0,0,0,0,4,0
3661f3634f54424cb6a100c1197492c0,0,0,2,1,0,0,0,2,0,0,2,0,1196,41,36,0,0,0,0,1,0,0
70e5adb29585409ab56f6e71da96d680,0,0,2,1,0,0,0,2,0,0,1,1,763.5,35.1,170,0,0,0,0,0,0,0
af72a900b38342f8a49ca4d14d903596,0,0,2,1,0,0,0,2,0,0,0,2,318.5,56.5,24,0,0,0,0,4,0,0
GDPR-6E883C28AF01BAE8C0EEBE244745CC47,0,0,2,1,0,0,0,2,0,0,0,2,102,18,15,0,0,0,0,0,0,0
