#=================================================================
# O365 Personal - All users _6_7
# Date: May 20 2019 - May 21 2019
"# Segments: Vtr: Non-Microsoft Traffic, Exclude Revenue > 10000, Market - EN-US, Delocalized O365 Personal (Visit)"
#=================================================================


#=================================================================
# O365 Home - Buy
# Date: May 20 2019 - May 21 2019
"# Segments: Vtr: Non-Microsoft Traffic, Exclude Revenue > 10000, Market - EN-US, Paid Orders_SJ (Visit), Delocalized O365 Personal (Visit)"
#=================================================================


##############################################
# Metrics - No Device orders
##############################################
,Order Exists,Order Exists,Visits,New Visitors,Return Visitors,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Time Spent per Visit (seconds),Delocalized O365 Personal (HIT),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),RPV (Revenue/Visitor)
,Visits,Visits,Visits,New Visitors,Return Visitors,Office.com,Store,O365 Web,O&O,Direct,Organic Search,Paid Search,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton,products.office.com/*-*/try,RPV (Revenue/Visitor)
,Paid Orders_SJ (Visit),Free Revenue,Visits,New Visitors,Return Visitors,Office.com,Store,O365 Web,O&O,Direct,Organic Search,Paid Search,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton,products.office.com/*-*/try,RPV (Revenue/Visitor)
MC1 (Visitor ID) (v10),1610,0,2258,1419,837,110,548,650,921,671,272,339,865.5744972577696,102.6557801969933,88857,7,70,28,31,1466,178,40.12812056737589
ef549ac0ae4e4b1a93329c0de36d6470,1,0,1,0,1,1,0,0,0,0,1,0,3228,51,110,0,0,0,0,5,0,59.96
befe9a0aac4e490d9b3247108bd478c4,1,0,1,0,1,1,0,0,0,0,1,0,2409,985,44,0,0,0,0,0,0,6.99
37da16d247a447d7aa95ccd78d845f60,1,0,1,0,1,1,0,0,0,0,1,0,1516,3,34,0,0,0,0,0,0,6.99
55405c5b1cd844d3ac611fd582a94ed8,1,0,1,0,1,1,0,0,0,0,1,0,514,,45,0,0,0,0,0,0,60
659b6b2936014569adebc7b82c148f28,1,0,1,0,1,1,0,0,0,0,1,0,457,23,29,0,0,0,0,1,0,69.99
aa41a3991e654e7cada7f7444fd8ad79,1,0,1,0,1,1,0,0,0,0,1,0,361,,26,0,0,0,0,0,0,6.99
794f62bf98ee45b2a175bd1ccc22192c,1,0,1,0,1,1,0,0,0,0,1,0,352,,28,0,0,0,0,0,0,69.99
d38cd79dfca74f9fa687c3b6bde7c124,1,0,1,0,1,1,0,0,0,0,1,0,326,14,152,0,0,0,0,4,0,69.99
c0128ebe4aba45b9b8bbc2b7a9ff5d68,1,0,1,0,1,1,0,0,0,0,1,0,280,,23,0,0,0,0,0,0,69.99
491ca2b1b9674d02b70ac712149e6b9a,1,0,1,0,1,1,0,0,0,0,1,0,216,,24,0,0,0,0,0,0,6.99
e11f716fc3334572900d3f7856a2cdc3,1,0,1,0,1,1,0,0,0,0,1,0,86,,11,0,0,0,0,0,0,69.99
80fd73553592fe4293d90a0a5a69afcf,1,0,1,0,1,1,0,0,0,0,1,0,37,,2,0,0,0,0,0,0,69.99
2780d82a55b2ad44a640d51aea3a3525,1,0,1,0,1,1,0,0,0,0,1,0,1,,2,0,0,0,0,0,0,6.99
73fd9b94706d4826bb781e70dbcc1a85,1,0,1,0,1,0,1,0,1,0,0,0,3171,206,38,0,0,0,0,1,0,48.99
36442584624d4777a5918ae6c12bcd89,1,0,1,0,1,0,1,0,1,0,0,0,1703,,92,0,0,0,0,1,0,14.99
5c49366092ba4fa28fe6d4fc37fefbd8,1,0,1,0,1,0,1,0,1,0,0,0,1523,235,92,0,0,0,0,2,0,6.99
