#=================================================================
# O365 Personal - Try
# Date: May 20 2019 - May 21 2019
"# Segments: Vtr: Non-Microsoft Traffic, Exclude Revenue > 10000, Market - EN-US, Free Revenue, Delocalized O365 Personal (Visit)"
#=================================================================


##############################################
# Metrics - No Device orders
##############################################
,Order Exists,Order Exists,Visits,New Visitors,Return Visitors,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Time Spent per Visit (seconds),Delocalized O365 Personal (HIT),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),RPV (Revenue/Visitor)
,Visits,Visits,Visits,New Visitors,Return Visitors,Office.com,Store,O365 Web,O&O,Direct,Organic Search,Paid Search,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton,products.office.com/*-*/try,RPV (Revenue/Visitor)
,Paid Orders_SJ (Visit),Free Revenue,Visits,New Visitors,Return Visitors,Office.com,Store,O365 Web,O&O,Direct,Organic Search,Paid Search,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton,products.office.com/*-*/try,RPV (Revenue/Visitor)
MC1 (Visitor ID) (v10),0,160,14858,8869,4917,810,6915,4358,6082,2689,2893,1937,418.4339247588898,113.4490964747704,187227,140,614,268,335,2219,1221,0
(Low Traffic),0,81,13796,8658,4394,776,6561,4054,5517,2470,2774,1866,344.15921943448825,116.4325661680092,130398,108,443,202,285,1615,911,0
d1a0455114d448e891c95e207a9d5971,0,1,2,0,1,0,0,1,2,0,0,0,1353.5,537.5,107,0,1,1,1,6,0,0
529bb3ca062a4755adeb9cc57ace2bd2,0,1,1,1,0,1,0,0,0,0,1,0,2076,,111,0,0,0,0,0,0,0
40ec5589a6474b21a1d91299c94b98fa,0,1,1,1,0,1,0,0,0,0,1,0,37,,20,0,0,0,0,0,0,0
27275410d4444ebeb58f8cf441e69578,0,1,1,1,0,0,1,0,1,0,0,0,516,,74,0,0,0,0,0,0,0
a658dcd265f040fc912b08c7e5182f07,0,1,1,1,0,0,1,0,0,0,1,0,254,,22,0,0,0,0,0,0,0
428cd250802aee47b732cb50da50db7f,0,1,1,1,0,0,1,0,0,0,1,0,174,,24,0,0,0,0,0,1,0
d138d949dab04234b9665088b5e3bb75,0,1,1,1,0,0,1,0,0,0,1,0,62,,26,0,0,0,0,0,0,0
393b6bb9fdaa4d96bb060c8c2cc532b6,0,1,1,1,0,0,1,0,0,0,1,0,11,,10,0,0,0,0,0,0,0
f1eb606480594700872486969a576e92,0,1,1,1,0,0,1,0,0,0,1,0,,,2,0,0,0,0,0,0,0
7234ebf1383f43fa93ac5976cf107183,0,1,1,1,0,0,1,0,0,0,0,1,852,14.5,42,0,0,0,0,0,0,0
e79a92e6b4f60641a9017f19d0ca89f7,0,1,1,1,0,0,1,0,0,0,0,1,493,,14,0,0,0,0,0,0,0
9e3ca5f9db7349b7b5db3e52031dc427,0,1,1,1,0,0,1,0,0,0,0,1,232,,21,0,0,0,0,0,0,0
4021f489f04a4110a97dce85fb3ff28f,0,1,1,1,0,0,1,0,0,0,0,1,139,,54,0,0,0,0,2,0,0
2dd79163159647bdaa7c542c71f64319,0,1,1,1,0,0,1,0,0,0,0,0,944,,112,0,0,0,0,0,12,0
d7ebd70e124740df9b330cbeca3fd881,0,1,1,1,0,0,1,0,0,0,0,0,321,,22,0,0,0,0,0,0,0
87ab147c4b1547728883acaa4c912aae,0,1,1,1,0,0,0,1,1,0,0,0,1784,,57,0,0,0,0,0,0,0
6aff52c493aa4d9489d942ab9afdb7ba,0,1,1,1,0,0,0,1,1,0,0,0,654,114,42,0,0,0,0,0,0,0
