#=================================================================
# Freeform
# Date: May 20 2019 - May 20 2019
"# Segments: Vtr: Non-Microsoft Traffic, Exclude Revenue > 10000, Market - EN-US"
#=================================================================


##############################################
# Freeform Table
##############################################
,Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit)
,Order Exists,Order Exists,Visits,New Visitors,Return Visitors,Visits,Visits,Visits,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4)
,Visits,Visits,Visits,New Visitors,Return Visitors,Office.com,Store,O365 Web,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton,products.office.com/*-*/try
,Paid Orders_SJ (Visit),Free Revenue,Visits,New Visitors,Return Visitors,Office.com,Store,O365 Web,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton,products.office.com/*-*/try
MC1 (Visitor ID) (v10),599,161,14016,7666,4972,644,8482,2892,352.3379754547828,229.9875575251406,135551,72,322,116,189,1591,1088
4de29e294a344390a22c586cce5f8435,0,0,1,1,0,0,0,1,24,24,3,0,0,0,0,0,0
d72a864920cd413e94c33ff7419e6c41,0,0,1,1,0,0,0,1,23,23,6,0,0,0,0,0,2
17946950868042ef9b1c4b80112513da,0,0,1,1,0,0,0,1,22,22,37,0,0,0,0,0,0
44afc6b482584f0095e6736d5ccd4a27,0,0,1,1,0,0,0,1,22,22,1,0,0,0,0,0,0
116e4fd161054928bba919a2b27a6851,0,0,1,1,0,0,0,1,22,22,0,0,0,0,0,0,0
326d27061cb540a69797cbeedc96b7b7,0,0,1,1,0,0,0,1,21,21,5,0,0,0,0,0,0
8df7f510e70949b19ed4f5a03de710d4,0,0,1,1,0,0,0,1,21,5.25,9,0,0,0,0,0,0
c028674b37a9414fbd4b1071aec7fef2,0,0,1,1,0,0,0,1,21,4.2,3,0,0,0,0,0,0
cb96dd297cc84832a111b5fbfc7b5562,0,0,1,1,0,0,0,1,20,20,1,0,0,0,0,0,0
011b8adb15c743fead22daa718fed7c3,0,0,1,1,0,0,0,1,19,19,3,0,0,0,0,0,0
7befdb542b4241bf901e6e524b95aadd,0,0,1,1,0,0,0,1,19,19,1,0,0,0,0,0,0
096e04cbc46b4883a2b1b48ffd627186,0,0,1,1,0,0,0,1,19,19,0,0,0,0,0,0,0
9a7a658679664e649c4694da1c73da5a,0,0,1,1,0,0,0,1,19,9.5,0,0,0,0,0,0,0
6cfaa23fb9ee4166bd2f48257c5b0cd9,0,0,1,1,0,0,0,1,19,4.75,3,0,0,0,0,0,0
