#=================================================================
# Freeform
# Date: May 12 2019 - May 25 2019
"# Segments: Vtr: Non-Microsoft Traffic, Exclude Revenue > 10000, Market - EN-US"
#=================================================================


##############################################
# Freeform Table
##############################################
,Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit)
,Order Exists,Visits,Visits,Visits,Visits,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4)
,Visits,Visits,Office.com,Store,O365 Web,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton
MC1 (Visitor ID) (v10),8521,162830,8400,101094,33817,358.5558164625246,267.9447541761079,1502158,924,3850,1568,2198,13678
83e0335537f4458bb6ceb623d637d8af,0,1,0,0,0,1,1,2,0,0,0,0,0
04dd13df1659461cafb3dd35999c07ac,0,1,0,0,0,1,1,2,0,0,0,0,0
bc4c50b6a79449208da81d1d22cba773,0,1,0,0,0,1,1,2,0,0,0,0,0
528e11d0aa1c4c81b303761b407655ad,0,1,0,0,0,1,1,2,0,0,0,0,0
af2ff6befdca4f3099e0940c0b63962e,0,1,0,0,0,1,1,6,0,0,0,0,0
767775883e4c47878f3d64f10b1c86ee,0,1,0,0,0,1,1,15,2,0,2,0,0
f7a370e22b554947b84a5b7c4f35e421,0,1,0,0,0,1,1,20,0,0,0,0,0
eaa2932787b84e9d91c486651e58336d,0,1,0,0,0,2,2,0,0,0,0,0,0
cdb96817c3824513a67587e8195e494e,0,1,0,0,0,2,2,0,0,0,0,0,0
9f29b2e3dd164aaf863fe64eeb866f94,0,1,0,0,0,2,2,0,0,0,0,0,0
7f5eb1e6a4974813bf2c2f4055470153,0,1,0,0,0,2,2,0,0,0,0,0,0
e48c13c63ec64ec386d219a0c11a34e0,0,1,0,0,0,2,2,0,0,0,0,0,0
f615d6f4201840988aa799fa50d43d20,0,1,0,0,0,2,2,0,0,0,0,0,0
266e9a0304f2435e9fffde9fe74d731f,0,1,0,0,0,2,2,0,0,0,0,0,0
42bfe334bf8f42259679a222a69fa375,0,1,0,0,0,2,2,1,0,0,0,0,0
d1bdc7b68610405896cd23d0551000c0,0,1,0,0,0,2,2,1,0,0,0,0,0
