#=================================================================
# Freeform
# Date: May 12 2019 - May 25 2019
"# Segments: Vtr: Non-Microsoft Traffic, Exclude Revenue > 10000, Market - EN-US"
#=================================================================


##############################################
# Freeform Table
##############################################
,Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit)
,Order Exists,Visits,New Visitors,Return Visitors,Visits,Visits,Visits,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4)
,Visits,Visits,New Visitors,Return Visitors,Office.com,Store,O365 Web,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton
MC1 (Visitor ID) (v10),8526,163090,103597,43706,8409,101247,33884,358.3608265568346,267.6709893877723,1504014,923,3839,1559,2199,13679
af217503b75344f8a9241870ea62a3e5,1,1,1,0,0,1,0,953,119.125,31,0,0,0,0,1
13fbbbfae20e46de9a6be0d4328e2908,1,1,1,0,0,1,0,952,952,12,0,0,0,0,0
a27b64e6f3a84eeca1f98ce74ebc8a87,1,1,1,0,0,1,0,939,27.61764705882353,75,0,0,0,0,0
b69b15252c104cbaa85f615ecd1341a4,1,1,1,0,0,1,0,925,92.5,98,0,0,0,0,0
172b0c26f20f4404ae402e94583e39cf,1,1,1,0,0,1,0,924,924,10,0,0,0,0,0
a8b0f721633c44d8b93476e8a2502bd1,1,1,1,0,0,1,0,916,458,34,0,0,0,0,0
d50d1df9526e41aabb417373402d26b3,1,1,1,0,0,1,0,914,182.8,31,0,0,0,0,0
573ec03c41114953ac773241c549cd29,1,1,1,0,0,1,0,913,913,33,0,0,0,0,2
1fa865345e6a43f6a308efc8c5d77fee,1,1,1,0,0,1,0,911,911,25,0,0,0,0,0
7f79cdd1c3b04283bf4004f79b11b5c5,1,1,1,0,0,1,0,911,911,18,0,0,0,0,0
e45bd57ad3fd433b8f86849ef033f282,1,1,1,0,0,1,0,904,904,19,0,0,0,0,0
2a831df8685b42d0962f37ee302aa1b6,1,1,1,0,0,1,0,899,899,30,0,0,0,0,0
da96a12295c042b48a190043ce4ae0a7,1,1,1,0,0,1,0,899,224.75,38,0,0,0,0,0
0fffe9b60676405ab2789be406f6b2e4,1,1,1,0,0,1,0,899,74.91666666666667,87,0,0,0,0,0
49cc3aae6dc1412fadf2ffb9f6389cb9,1,1,1,0,0,1,0,896,47.1578947368421,41,0,0,0,0,0
e678e41d62a04b66bb35af2d2b2e0b3d,1,1,1,0,0,1,0,895,447.5,50,0,0,0,0,0
dc44a078f18bf94c8b7d3f5e0f1927ce,1,1,1,0,0,1,0,892,892,41,0,0,0,0,0
8729f43d77844151b1afefc6d1320c0c,1,1,1,0,0,1,0,884,442,118,0,0,0,0,0
1715554ca1074760aa6a4b629cd682ec,1,1,1,0,0,1,0,871,871,3,0,0,0,0,0
ef475401b93047449bdc9ad8c687a13a,1,1,1,0,0,1,0,861,430.5,28,0,0,0,0,0
1272a72fd036446ab6a8fa44527e6a82,1,1,1,0,0,1,0,860,860,19,0,0,0,0,0
a99c82d692d642e8aca46fd36f2b5693,1,1,1,0,0,1,0,856,856,58,0,0,0,0,0
b74425b7885c4814809de985a7b8a8ab,1,1,1,0,0,1,0,853,853,7,0,0,0,0,0
862c279430654bd586ae477a741eaf2a,1,1,1,0,0,1,0,851,851,31,0,0,0,0,0
e8d76baa1d7748259ede408aa7d13d82,1,1,1,0,0,1,0,848,848,69,0,0,0,0,1
9c56e967cf2c407499738a7bd8429929,1,1,1,0,0,1,0,843,76.63636363636364,42,0,0,0,0,0
20ad0de919c448829b6418eb59c83388,1,1,1,0,0,1,0,839,839,51,0,0,0,0,0
42eeb81d7d0a487eb686b5b593bb359d,1,1,1,0,0,1,0,838,838,71,0,0,0,0,0
44c3720ff8154a09bd8d9c4f36f69d85,1,1,1,0,0,1,0,831,48.88235294117647,74,0,0,0,0,2
e1ffdc8401e94ccf84d1f673b1f78bfb,1,1,1,0,0,1,0,827,827,69,0,0,0,0,0
cec3585a633f46f294c37b181ce27eff,1,1,1,0,0,1,0,826,103.25,68,0,0,0,0,0
75ec9b16325342a8933fa4fdaea040ad,1,1,1,0,0,1,0,825,412.5,67,0,0,0,0,0
e503dcfc23644bc1813ec851ec5f8c1b,1,1,1,0,0,1,0,824,412,57,0,0,0,0,0
0cef1da892c74f849c6b5964d78588ba,1,1,1,0,0,1,0,822,411,178,0,0,0,0,0
200cdcd0d2774defb299ee232b9459a3,1,1,1,0,0,1,0,820,820,58,0,0,0,0,1
2e488f2ddf80475e90b0acac26bf8042,1,1,1,0,0,1,0,820,820,27,0,0,0,0,1
1d2fc0e9f5da41088f198b0e350cdc5d,1,1,1,0,0,1,0,814,814,57,0,0,0,0,0
8a9a0aef9ca842a8b940d56f4b68d803,1,1,1,0,0,1,0,798,199.5,185,0,0,3,0,0
