#=================================================================
# Freeform
# Date: May 20 2019 - May 20 2019
"# Segments: Vtr: Non-Microsoft Traffic, Exclude Revenue > 10000, Market - EN-US"
#=================================================================


##############################################
# Freeform Table
##############################################
,Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit)
,Order Exists,Order Exists,Device Orders + Office (Visitor),Visits,New Visitors,Return Visitors,Visits,Visits,Visits,Time Spent per Visit (seconds),Delocalized O365 Home (HIT),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4)
,Visits,Visits,Visits,Visits,New Visitors,Return Visitors,Office.com,Store,O365 Web,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton,products.office.com/*-*/try
,Paid Orders_SJ (Visit),Free Revenue,Visits,Visits,New Visitors,Return Visitors,Office.com,Store,O365 Web,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton,products.office.com/*-*/try
MC1 (Visitor ID) (v10),599,161,29,14016,7666,4972,644,8482,2892,352.3379754547828,104.7819287576021,135551,72,322,116,189,1591,1088
cdbcd18703554d83803361308b9e7d1a,0,0,0,1,0,1,0,1,0,165,121,9,0,0,0,0,0,0
b42ff922c5681f408dfe09c47fc26adc,0,0,0,1,0,1,0,1,0,151,,24,0,0,0,0,0,0
383e1bfade7248168e76e091d07e9f02,0,0,0,1,0,1,0,1,0,148,148,4,0,0,0,0,0,0
7e9c4ab7d3e44b369e9ba09577c34c12,0,0,0,1,0,1,0,1,0,148,,17,0,0,0,0,2,0
d49dbc4c941d41a38ae01ab601892a71,0,0,0,1,0,1,0,1,0,146,146,4,0,0,0,0,0,0
4ebd06f427594ef88d145599e9ca5d3e,0,0,0,1,0,1,0,1,0,146,146,0,0,0,0,0,0,0
cbe7d43c60734100b05074f968620b59,0,0,0,1,0,1,0,1,0,146,,6,0,0,0,0,0,0
a37da6218e7048d4bcdde0dcfe6a5e93,0,0,0,1,0,1,0,1,0,142,36,31,0,0,0,0,0,0
f5a740193d26499db6dabc6a47ee8299,0,0,0,1,0,1,0,1,0,141,4,40,0,0,0,0,0,0
ba7a357cff12914e8c902f5b7540c0f4,0,0,0,1,0,1,0,1,0,138,,15,0,0,0,0,0,0
84383ead218a424487f8462210d213fe,0,0,0,1,0,1,0,1,0,119,45,50,0,0,0,0,0,0
9c2424318e314e6882113f8b619cf301,0,0,0,1,0,1,0,1,0,117,71,2,0,0,0,0,0,0
a0ada20bbd454327b19e83e4e2221a59,0,0,0,1,0,1,0,1,0,112,112,2,0,0,0,0,0,0
f521184934894b28bfc349cf3be153ec,0,0,0,1,0,1,0,1,0,109,108,7,0,0,0,0,1,0
5c7eaa7842ae42f2b80bc2cd44e3e115,0,0,0,1,0,1,0,1,0,108,,3,0,0,0,0,0,0
3e7e985df62046efa286031059645110,0,0,0,1,0,1,0,1,0,105,95,1,0,0,0,0,0,0
2ca91070d75544a4a97dd7baefc0bdeb,0,0,0,1,0,1,0,1,0,104,,1,0,0,0,0,0,0
1fd96445512f444e961f803a341dc2fe,0,0,0,1,0,1,0,1,0,91,6,14,0,0,0,0,0,0
bf2d4047d3344ee9a8f91c320c89be70,0,0,0,1,0,1,0,1,0,89,85,3,0,0,0,0,0,0
6955881e038245fd98f1150dff683f6f,0,0,0,1,0,1,0,1,0,89,26,29,0,0,0,0,2,0
f34f20527c8a4195bd50b0aa4ec86d6c,0,0,0,1,0,1,0,1,0,82,,21,0,0,0,0,0,0
59496fd52c7047689bc240fc154420b2,0,0,0,1,0,1,0,1,0,78,,11,0,0,0,0,0,0
10eb4cac41874522bbc91a5a5beecf35,0,0,0,1,0,1,0,1,0,75,,5,0,0,0,0,0,0
17d785e456c44827a5bc7aca6476255f,0,0,0,1,0,1,0,1,0,68,,2,0,0,0,0,0,0
d1521db971f94d29bd354ee1b92eddc1,0,0,0,1,0,1,0,1,0,66,,34,0,0,0,0,0,0
74066734dac843e187fc867b184754d9,0,0,0,1,0,1,0,1,0,65,,7,0,0,0,0,0,0
a5061e445b2442188f9be85ac78485f6,0,0,0,1,0,1,0,1,0,61,,9,0,0,0,0,0,0
0308839aa4354cc6a99a8d6a3600f059,0,0,0,1,0,1,0,1,0,59,59,2,0,0,0,0,0,0
625d301b44764450a057cf8ac12ebde8,0,0,0,1,0,1,0,1,0,57,57,0,0,0,0,0,0,0
5568652fe8c549dd88eb698d24ff7867,0,0,0,1,0,1,0,1,0,55,55,1,0,0,0,0,0,0
7ca9dfa7c63e4d01ad0f17372e08d39d,0,0,0,1,0,1,0,1,0,55,9,18,0,0,0,0,0,0
6f8428eb97414d8cb0f69ef65c2bc2e9,0,0,0,1,0,1,0,1,0,52,52,2,0,0,0,0,0,0
7f2259430ede49a4bb9ac4bd9420fa0d,0,0,0,1,0,1,0,1,0,52,48,3,0,0,0,0,0,0
33a09de2e61c449596716bd4c47b06e4,0,0,0,1,0,1,0,1,0,51,,7,0,0,0,0,0,0
a165b2af04764d62b98b48b301fd81be,0,0,0,1,0,1,0,1,0,50,50,3,0,0,0,0,0,0
4c1e7d04755b4c68b867b7eb28c751c3,0,0,0,1,0,1,0,1,0,49,,11,0,0,0,0,0,0
b4f4cb29416141028ac44ceb775e1ea6,0,0,0,1,0,1,0,1,0,49,,7,0,0,0,0,0,0
a38082eb86c8495e8ec8bf3783c565b7,0,0,0,1,0,1,0,1,0,47,19,4,0,0,0,0,1,0
bd11d59d31464c0497d61bea194c1472,0,0,0,1,0,1,0,1,0,47,,5,0,0,0,0,0,0
7065b2d708334a86a0f143ff720cfdea,0,0,0,1,0,1,0,1,0,44,39,5,0,0,0,0,0,0
832d5ac2effe4fed83e344c71e25eebd,0,0,0,1,0,1,0,1,0,42,26,14,0,0,0,0,0,0
bc369dad6bdb4efd90cddf6a96cfe3e4,0,0,0,1,0,1,0,1,0,42,,13,0,0,0,0,0,0
66346ae4f59c4476a261b5fd5b968b66,0,0,0,1,0,1,0,1,0,41,27,13,0,0,0,0,0,0
3cb12bf6456c4ce5ad9e409ca6b154ed,0,0,0,1,0,1,0,1,0,35,,2,0,0,0,0,0,0
c625c68b2a5b4c80962e95a45cab9cda,0,0,0,1,0,1,0,1,0,33,33,4,0,0,0,0,0,0
6ffbb8d026564f6391276581e74a2305,0,0,0,1,0,1,0,1,0,32,,0,0,0,0,0,0,0
b5d08820efe547b2bcf93cea8163fa9c,0,0,0,1,0,1,0,1,0,31,1,1,0,0,0,0,0,0
b34ac9c3a408465884e347fc3bfff30d,0,0,0,1,0,1,0,1,0,30,17,3,0,0,0,0,0,0
6400db199b4841e3af11859596d676a2,0,0,0,1,0,1,0,1,0,26,26,3,0,0,0,0,0,0
ec096c913aef47a790fe6593efafb6eb,0,0,0,1,0,1,0,1,0,26,,4,0,0,0,0,0,0
c21d70f6f5974ed099992e5dcca64128,0,0,0,1,0,1,0,1,0,24,2,2,0,0,0,0,0,0
8c34892b1a044e61b6c758e15a4dec6a,0,0,0,1,0,1,0,1,0,23,,3,0,0,0,0,0,0
20b074954c51424c9bf87218c7e752c7,0,0,0,1,0,1,0,1,0,21,,2,0,0,0,0,0,0
1de7226e0fa34f308a4f48e22f7a08d6,0,0,0,1,0,1,0,1,0,19,11,14,0,0,0,0,0,0
c7569639c0fb4c71b74a523736904e76,0,0,0,1,0,1,0,1,0,18,18,4,0,0,0,0,0,0
adc33eb734004c68a64b22a5f474186e,0,0,0,1,0,1,0,1,0,18,6,11,0,0,0,0,0,0
cb033c3ff23a40f8a81c4595b333c332,0,0,0,1,0,1,0,1,0,18,,12,0,0,0,0,0,0
7538a64ab0db4398b27c7b3999fc2b04,0,0,0,1,0,1,0,1,0,17,2,3,0,0,0,0,0,0
8f91e6cc587248a9a67acf634a2a4b50,0,0,0,1,0,1,0,1,0,16,16,3,0,0,0,0,0,0
e500acc2b157d843b027b4d5f47cd9cf,0,0,0,1,0,1,0,1,0,16,16,3,0,0,0,0,0,0
202fcc07aae4471ab014be8a61c96191,0,0,0,1,0,1,0,1,0,15,,2,0,0,0,0,0,0
6a896217ff8a4c0fbdf50be9a20c283e,0,0,0,1,0,1,0,1,0,15,,1,0,0,0,0,0,0
8eaaf1f460ff4e7289f753084facd10c,0,0,0,1,0,1,0,1,0,14,13,0,0,0,0,0,0,0
512673ec84974ddc824f58129a17ec25,0,0,0,1,0,1,0,1,0,14,1,0,0,0,0,0,0,0
63688a5f4de84a9abfa4e116292fae98,0,0,0,1,0,1,0,1,0,14,,2,0,0,0,0,0,0
d4d0ecaa54a64783aaddfc60e3f27578,0,0,0,1,0,1,0,1,0,13,12,0,0,0,0,0,0,0
e1d4eb9b89c0494ba352f7de33f6a1ab,0,0,0,1,0,1,0,1,0,13,,7,0,0,0,0,0,4
a01eddcf030e480eb85934c6e82baae8,0,0,0,1,0,1,0,1,0,13,,1,0,0,0,0,0,0
9c83c4fe7b5040c5b65f86690541d8d1,0,0,0,1,0,1,0,1,0,12,12,2,0,0,0,0,0,0
0f3054db4ca34136ab36ef9187051808,0,0,0,1,0,1,0,1,0,12,12,1,0,0,0,0,0,0
7f0cb671fb2c4b3ca2ff14cdd803133b,0,0,0,1,0,1,0,1,0,11,4,2,0,0,0,0,0,0
cae2749fb0264ff28b00713d3e00496c,0,0,0,1,0,1,0,1,0,11,,3,0,0,0,0,0,0
d2cc09c707c89045a125cbb0ded33572,0,0,0,1,0,1,0,1,0,10,10,8,0,0,0,0,0,0
