AnonPuid,Product_new_group_update,tot_cnt,PI_Others,PI_Productivity_App,PI_Entertainment_App,PI_Casual_game,PI_Core_game,PI_Others_OperatingSystem,PI_Others_Pass,PI_MMTV,PI_Other_App,PI_Others_Device,PI_Others_Bundle,PI_Others_Music,tot_Usage_Engagement,Usage_Others,Usage_Productivity_App,Usage_Entertainment_App,Usage_Casual_game,Usage_Core_game,Usage_Others_OperatingSystem,Usage_Others_Pass,Usage_MMTV,Usage_Other_App,Usage_Others_Device,Usage_Others_Bundle,Usage_Others_Music
1,Others,3,1,0,0,0,0,0,0,0,0,0,0,0,3375,0,0,3375,0,0,0,0,0,0,0,0,0
2,Others,1,1,0,0,0,0,0,0,0,0,0,0,0,300027096,0,7268661,9984,292642266,0,0,0,106185,0,0,0,0
3,Productivity_App,1,0,1,0,0,0,0,0,0,0,0,0,0,1558297,0,370781,1187516,0,0,0,0,0,0,0,0,0
4,Entertainment_App,13,0.923076923,0.384615385,0.461538462,0.230769231,0,0,0,0,0,0,0,0,46524503,0,11070747,12021833,9609,0,0,0,23422314,0,0,0,0
5,Others,18,0.5,0.222222222,0,0,0.277777778,0,0,0,0,0,0,0,589592,0,587733,1859,0,0,0,0,0,0,0,0,0
6,Entertainment_App,4,0.25,0,0.75,0,0,0,0,0,0,0,0,0,2673736,0,2356813,316923,0,0,0,0,0,0,0,0,0
7,Others,3,1,0,0.333333333,0,0,0,0,0,0,0,0,0,7923547,0,0,7923547,0,0,0,0,0,0,0,0,0
8,Others,8,0.875,0.125,0,0,0,0,0,0,0,0,0,0,44891,0,44891,0,0,0,0,0,0,0,0,0,0
9,Others,8,0.875,0.25,0.125,0,0,0,0,0,0,0,0,0,13638387,0,384296,13175545,78546,0,0,0,0,0,0,0,0
10,Others,8,0.875,0.125,0,0,0,0,0,0,0,0,0,0,2121341,0,32655,19031,0,0,0,2069655,0,0,0,0,0
11,Productivity_App,1,0,1,0,0,0,0,0,0,0,0,0,0,14013615,0,14013599,16,0,0,0,0,0,0,0,0,0
12,Others,25,1,0.04,0.08,0.04,0.68,0,0,0,0,0,0,0,13471655,0,2433859,603792,0,10434004,0,0,0,0,0,0,0
13,Others,5,0.6,0.4,0,0,0,0,0,0,0,0,0,0,59578832,0,1149874,2016,0,0,0,56115664,2311278,0,0,0,0
14,Others,23,0.869565217,0.086956522,0.086956522,0.304347826,0.043478261,0,0,0,0,0,0,0,76684790,0,14174728,6441016,56001811,0,0,0,67235,0,0,0,0
15,Others,12,1,0.166666667,0.083333333,0,0,0,0,0,0,0,0,0,5125815,0,391421,1059501,3674893,0,0,0,0,0,0,0,0
16,Others_Pass,3,0.666666667,1,0,0,0,0,0,0,0,0,0,0,81602704,0,5664936,75937768,0,0,0,0,0,0,0,0,0
