,0
Paid Order Exists,0.03571428571428571
Try Exists,0.0
Device Orders_Office,0.0
Total Visits,1.1785714285714286
New Visitors,0.39285714285714285
Return Visitors,0.6071428571428571
Enter PDP from Office.com,0.14285714285714285
Enter PDP from Store,0.32142857142857145
Enter PDP from O365 Web,0.35714285714285715
Time Spent per Visit (seconds),653.6590909090909
Average Time Spent on Page (seconds),94.6590909090909
Link Clicks (e4),31.714285714285715
Link Clicks on OverviewTab,0.03571428571428571
Link Clicks on TechSpecsTab,0.07142857142857142
Link Clicks on ReviewTab,0.07142857142857142
Link Clicks on FAQTab,0.03571428571428571
Link Clicks on AddtoCartButton,0.17857142857142858
Link Clicks on Trial link,0.07142857142857142
cluster5,2.0
