#=================================================================
# O365 Home - Buy
# Date: May 20 2019 - May 21 2019
"# Segments: Vtr: Non-Microsoft Traffic, Exclude Revenue > 10000, Market - EN-US, Paid Orders_SJ (Visit)"
#=================================================================


##############################################
# Metrics - No Device orders
##############################################
,Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit)
,Order Exists,Order Exists,Visits,New Visitors,Return Visitors,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Time Spent per Visit (seconds),Delocalized O365 Home (HIT),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),RPV (Revenue/Visitor)
,Visits,Visits,Visits,New Visitors,Return Visitors,Office.com,Store,O365 Web,O&O,Direct,Organic Search,Paid Search,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton,products.office.com/*-*/try,RPV (Revenue/Visitor)
,Paid Orders_SJ (Visit),Free Revenue,Visits,New Visitors,Return Visitors,Office.com,Store,O365 Web,O&O,Direct,Organic Search,Paid Search,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton,products.office.com/*-*/try,RPV (Revenue/Visitor)
MC1 (Visitor ID) (v10),1148,0,1607,985,621,90,572,389,589,507,225,252,893.7739858338699,112.9149408284024,62481,10,45,12,22,973,245,45.29376712328768
ebdfb8f13a9f4b4daf8a54bc11f8c741,1,0,1,0,1,0,0,0,0,1,0,0,53,,13,0,0,0,0,0,0,69.99
c5a27b5864714c6cb443a372224bb78f,1,0,1,0,1,0,0,0,0,1,0,0,45,,17,0,0,0,0,0,0,6.99
bf4bd343d8734f4fba10764e69c83ec2,1,0,1,0,1,0,0,0,0,1,0,0,37,,11,0,0,0,0,0,0,9.99
3e4ecfb7043241bc9ab6852067e0d1c4,1,0,1,0,1,0,0,0,0,1,0,0,20,,12,0,0,0,0,0,0,99.99000000000001
6b657c0459342845bc174b5d3dbd820d,1,0,1,0,1,0,0,0,0,1,0,0,16,,8,0,0,0,0,0,0,9.99
d888459bc880477283d3271b7fda46c4,1,0,1,0,1,0,0,0,0,0,1,0,55,,47,0,0,0,0,0,0,6.99
