#=================================================================
# O365 Personal - All users _6_7
# Date: May 20 2019 - May 21 2019
"# Segments: Vtr: Non-Microsoft Traffic, Exclude Revenue > 10000, Market - EN-US, Delocalized O365 Personal (Visit)"
#=================================================================


##############################################
# Metrics - No Device orders
##############################################
,Order Exists,Order Exists,Visits,New Visitors,Return Visitors,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Time Spent per Visit (seconds),Delocalized O365 Personal (HIT),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),RPV (Revenue/Visitor)
,Visits,Visits,Visits,New Visitors,Return Visitors,Office.com,Store,O365 Web,O&O,Direct,Organic Search,Paid Search,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton,products.office.com/*-*/try,RPV (Revenue/Visitor)
,Paid Orders_SJ (Visit),Free Revenue,Visits,New Visitors,Return Visitors,Office.com,Store,O365 Web,O&O,Direct,Organic Search,Paid Search,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton,products.office.com/*-*/try,RPV (Revenue/Visitor)
MC1 (Visitor ID) (v10),1610,160,17116,10185,5681,920,7463,5008,7003,3360,3165,2276,480.468264536174,111.7221300597213,276084,147,684,296,366,3685,1399,5.705851506365814
4296c7b93804426e84dcc663f12857c5,0,0,1,1,0,0,0,1,1,0,0,0,5,5,13,0,0,0,0,0,0,0
30627f1546964082bd5aabfbb1cf602c,0,0,1,1,0,0,0,1,1,0,0,0,5,,2,0,0,0,0,0,0,0
b55edb683c0b4dd4a1c6cbf7c53f21e2,0,0,1,1,0,0,0,1,1,0,0,0,5,,1,0,0,0,0,0,0,0
43469328864c4b7f830f8c9dc72b1f2b,0,0,1,1,0,0,0,1,1,0,0,0,5,,1,0,0,0,0,0,0,0
d11ec46cc7274e3bbb71c93eec62bb66,0,0,1,1,0,0,0,1,1,0,0,0,4,,10,0,0,0,0,0,0,0
c5a7ffce68934dfa97051bdff2080e50,0,0,1,1,0,0,0,1,1,0,0,0,4,,4,0,0,0,0,0,0,0
dfa9770c61b14a919733feaf507bbdf0,0,0,1,1,0,0,0,1,1,0,0,0,4,,2,0,0,0,0,0,0,0
76b325d96af340a0a9eb2ba3d1f5a1e6,0,0,1,1,0,0,0,1,1,0,0,0,4,,1,0,0,0,0,0,0,0
1026733ebc754f949b936bcd073a91d6,0,0,1,1,0,0,0,1,1,0,0,0,3,,1,0,0,0,0,0,0,0
35eb8ff53f5d4b3b8d0a2ac90e251173,0,0,1,1,0,0,0,1,1,0,0,0,2,1,1,0,0,0,0,0,0,0
a8553e1b37914ef5a78c6ede19bbd63c,0,0,1,1,0,0,0,1,1,0,0,0,2,,29,0,0,0,0,0,0,0
fc44fe0a7a044e2db0d5e80050ab807b,0,0,1,1,0,0,0,1,1,0,0,0,2,,3,0,0,0,0,0,0,0
5dda98b8f5c9404dbebf58d1a7b93eff,0,0,1,1,0,0,0,1,1,0,0,0,1,,11,0,0,0,0,0,0,0
298ae9d34c074127b475e90e84cb5f34,0,0,1,1,0,0,0,1,1,0,0,0,1,,2,0,0,0,0,0,0,0
2b860af21cf8485c9931d6401c2a263c,0,0,1,1,0,0,0,1,1,0,0,0,1,,1,0,0,0,0,0,0,0
5418bc01bd8d4656ba2d91b066040514,0,0,1,1,0,0,0,1,1,0,0,0,1,,0,0,0,0,0,0,0,0
de55e8b7b64447f7a1014c4a7ca55bdc,0,0,1,1,0,0,0,1,1,0,0,0,,,38,0,0,0,0,0,0,0
de673e099d07499486de963d0ccc4633,0,0,1,1,0,0,0,1,1,0,0,0,,,35,0,0,0,0,0,0,0
