#=================================================================
# O365 Personal - All users _6_7
# Date: May 20 2019 - May 21 2019
"# Segments: Vtr: Non-Microsoft Traffic, Exclude Revenue > 10000, Market - EN-US, Delocalized O365 Personal (Visit)"
#=================================================================


#=================================================================
# O365 Home - Buy
# Date: May 20 2019 - May 21 2019
"# Segments: Vtr: Non-Microsoft Traffic, Exclude Revenue > 10000, Market - EN-US, Paid Orders_SJ (Visit), Delocalized O365 Personal (Visit)"
#=================================================================


##############################################
# Metrics - No Device orders
##############################################
,Order Exists,Order Exists,Visits,New Visitors,Return Visitors,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Time Spent per Visit (seconds),Delocalized O365 Personal (HIT),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),RPV (Revenue/Visitor)
,Visits,Visits,Visits,New Visitors,Return Visitors,Office.com,Store,O365 Web,O&O,Direct,Organic Search,Paid Search,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton,products.office.com/*-*/try,RPV (Revenue/Visitor)
,Paid Orders_SJ (Visit),Free Revenue,Visits,New Visitors,Return Visitors,Office.com,Store,O365 Web,O&O,Direct,Organic Search,Paid Search,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton,products.office.com/*-*/try,RPV (Revenue/Visitor)
MC1 (Visitor ID) (v10),1610,0,2258,1419,837,110,548,650,921,671,272,339,865.5744972577696,102.6557801969933,88857,7,70,28,31,1466,178,40.12812056737589
(Low Traffic),1000,0,2115,1370,744,102,514,601,859,624,256,323,676.0211302211302,113.44237652111669,59990,7,50,23,25,1153,140,24.757535477767266
d8e8b62adfe14dafb369dec6494fdc48,1,0,2,1,0,0,0,0,2,0,0,0,626.5,42,108,0,0,0,0,0,0,69.99
1ebca8bd666644a3b468878a92bf9983,1,0,1,1,0,1,0,0,0,1,0,0,2179,,33,0,0,0,0,0,0,249.99
45d883dd66ac4d15a5fce761e496f20c,1,0,1,1,0,1,0,0,0,1,0,0,670,38,72,0,0,0,0,1,0,69.99
1439989b244c441ea420bc8cc261621a,1,0,1,1,0,1,0,0,0,1,0,0,647,,31,0,0,0,0,1,0,249.99
efe1dd5a57f94ec585bca628a00dc1e5,1,0,1,1,0,1,0,0,0,1,0,0,242,,42,0,0,0,0,0,0,149.99
a0ab69d2ad6448ddbdd60a1f6d9f41d8,1,0,1,1,0,1,0,0,0,1,0,0,66,,17,0,0,0,0,0,0,249.99
660d77de5ea745a2998dcfe890e52f60,1,0,1,1,0,1,0,0,0,0,1,0,708,11,26,0,0,0,0,1,0,6.99
02a0b8b083154175914c25c2437544ed,1,0,1,1,0,1,0,0,0,0,1,0,591,12.333333333333334,36,0,0,0,0,1,0,69.99
1ea4d003fdc6432aa0ad9f826663d094,1,0,1,1,0,1,0,0,0,0,1,0,502,,41,0,0,0,0,0,0,6.99
059ec63eef18440392d34ee0473590d6,1,0,1,1,0,1,0,0,0,0,1,0,405,55,31,0,0,0,0,1,0,6.99
90592cc91ade49269305b5f787eb4a18,1,0,1,1,0,1,0,0,0,0,1,0,404,,15,0,0,0,0,0,0,69.99
0e700fdb502348d894d84870b1ea5c20,1,0,1,1,0,1,0,0,0,0,1,0,367,25,20,0,0,0,0,0,0,69.99
714c0b0d0bc748da8ff0e74efea59da5,1,0,1,1,0,1,0,0,0,0,1,0,353,18,89,0,0,0,0,2,0,69.99
90b0d31e2430435b8d38ae8f2745b6ac,1,0,1,1,0,1,0,0,0,0,1,0,181,,40,0,0,0,0,0,0,48.99
32ae49c7bc654f98bc46666402b0f59d,1,0,1,1,0,1,0,0,0,0,1,0,136,5,12,0,0,0,0,0,0,69.99
