#=================================================================
# Freeform
# Date: May 12 2019 - May 25 2019
"# Segments: Vtr: Non-Microsoft Traffic, Exclude Revenue > 10000, Market - EN-US"
#=================================================================


##############################################
# Freeform Table
##############################################
,Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit)
,Order Exists,Visits,New Visitors,Return Visitors,Visits,Visits,Visits,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4)
,Visits,Visits,New Visitors,Return Visitors,Office.com,Store,O365 Web,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton
MC1 (Visitor ID) (v10),8522,162890,103469,43654,8401,101132,33831,358.5639507425969,267.9596704523905,1502568,924,3851,1568,2199,13679
873d8e777f174d8f91a639852b84bd9a,0,1,0,1,0,0,0,160,80,3,0,0,0,0,0
973377cc97ab4a1d88355dae2ab48af3,0,1,0,1,0,0,0,160,160,3,0,1,0,0,0
a5ee7272902e4105bca15a52d5c099af,0,1,0,1,0,0,0,161,161,2,0,0,0,0,0
a7449ff3c8324c0ea9dffed186b7ac37,0,1,0,1,0,0,0,162,162,3,0,0,0,0,0
39b4ab023b314fcbaf998549eea991db,0,1,0,1,0,0,0,162,162,6,0,0,0,0,0
6aea3f77a353426dabc9c3363bec67f4,0,1,0,1,0,0,0,162,162,9,0,0,0,0,0
a57c21e26120450cbeab478db4b03205,0,1,0,1,0,0,0,163,163,5,0,0,0,0,0
2b9374d6e16741eab775e3e9862cec51,0,1,0,1,0,0,0,163,163,11,0,0,0,0,1
5b2248e2a8314e979f0d8674371eef8b,0,1,0,1,0,0,0,164,41,0,0,0,0,0,0
95a89fceeaac4c3f9213b13db63ae9a2,0,1,0,1,0,0,0,166,41.5,11,0,0,0,0,0
09bba0f1e0414194986267506823009f,0,1,0,1,0,0,0,166,166,0,0,0,0,0,0
833435413c024b57a2cd343bb4f6af83,0,1,0,1,0,0,0,167,55.666666666666664,15,0,0,0,0,0
bec92869b63f407193c3d837a63ad615,0,1,0,1,0,0,0,167,167,3,0,0,0,0,0
6c05f16c3f184e439c12b5f184e9fce7,0,1,0,1,0,0,0,170,170,5,0,0,0,0,0
a68d936019e5490ba8ec6f0e57928f41,0,1,0,1,0,0,0,171,14.25,21,0,0,0,0,0
0c14f2ed6ddc47039437a93242cc81ba,0,1,0,1,0,0,0,171,171,14,0,0,0,0,0
483d01f3ba8f47aaa0a3d568740790ca,0,1,0,1,0,0,0,174,87,9,0,0,0,0,0
22c24ec0dd4b4f5bb1c556abcf7dc215,0,1,0,1,0,0,0,174,174,14,0,0,0,0,0
2aab4cd4301f48c6b023c2d684f99075,0,1,0,1,0,0,0,175,21.875,24,0,0,0,0,0
861ef045232c4f8285fe2e3b58f65e9f,0,1,0,1,0,0,0,175,175,5,0,0,0,0,0
3e40aba15b4e4845be791a0681e1a235,0,1,0,1,0,0,0,175,175,20,0,0,0,0,0
0e032366351c49939f08148a4c6c1606,0,1,0,1,0,0,0,176,176,11,0,0,0,0,0
4349472a541a9246a4c5467c55566254,0,1,0,1,0,0,0,176,176,16,0,0,0,0,0
0ef25ffb177f4935bae1a8e1c2f29c36,0,1,0,1,0,0,0,176,176,54,0,0,0,0,0
c737b18abe1f45d584c43b9872feec81,0,1,0,1,0,0,0,177,177,4,0,0,0,0,0
d80d38f504cc460f8a96a34222b302de,0,1,0,1,0,0,0,177,177,13,0,0,0,0,1
9df68cb3741e40b5a10c97c307c17630,0,1,0,1,0,0,0,178,12.714285714285714,17,0,0,0,0,0
143853da50c528429aed46bb4ee54e53,0,1,0,1,0,0,0,178,59.333333333333336,19,0,0,0,0,1
d7d76fc1e77f482db6c122948a03785b,0,1,0,1,0,0,0,178,178,8,0,0,0,0,0
527d8a9949474b039ad99a49986a7618,0,1,0,1,0,0,0,180,180,1,0,0,0,0,0
5bdd0904fdbc4222976b91e51bc5d760,0,1,0,1,0,0,0,182,182,5,0,0,0,0,0
c52d83db7cc94933b405caeabd7d8ef4,0,1,0,1,0,0,0,182,182,12,0,0,0,0,0
48b63f245cc4477c870e586328773e8b,0,1,0,1,0,0,0,183,183,4,0,0,0,0,0
c4067172a89a442cad1f4d68d426946f,0,1,0,1,0,0,0,183,183,22,0,0,0,0,0
9e4c32b916894cffafd2339f95fe2c9b,0,1,0,1,0,0,0,185,18.5,14,0,0,0,0,0
0d8c7f9ee7df45539cce56329e9e7647,0,1,0,1,0,0,0,186,186,33,0,1,0,0,0
2a0edf7fc45c450083fa389ad8daf4c3,0,1,0,1,0,0,0,187,37.4,27,0,0,0,0,0
b29777bd81a74d6c94c621dd05b16955,0,1,0,1,0,0,0,187,187,2,0,0,0,0,0
73c980628b444194b0f4aeea013f9d85,0,1,0,1,0,0,0,188,11.058823529411764,21,0,0,0,0,0
