#=================================================================
# Freeform
# Date: May 12 2019 - May 25 2019
"# Segments: Vtr: Non-Microsoft Traffic, Exclude Revenue > 10000, Market - EN-US"
#=================================================================


##############################################
# Freeform Table
##############################################
,Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit)
,Order Exists,Visits,New Visitors,Return Visitors,Visits,Visits,Visits,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4)
,Visits,Visits,New Visitors,Return Visitors,Office.com,Store,O365 Web,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton
MC1 (Visitor ID) (v10),8522,162890,103469,43654,8401,101132,33831,358.5530571102308,267.9510522295678,1502568,924,3851,1568,2199,13679
(Low Traffic),5378,156237,101154,41180,8121,98645,31654,304.075042570519,288.72091273997734,1081442,673,3103,1128,1887,10386
6a146170f75d45339b264ea59bb1e831,1,6,0,1,0,2,1,275.5,275.5,11,0,0,0,0,0
6026a590bdc84113a3b466dcd85f0482,1,5,1,0,2,1,1,862.2,718.5,99,0,0,0,0,1
2948611dc47e42d68de769fefcb88fb2,1,4,1,0,0,4,0,227.66666666666666,227.66666666666666,97,0,0,0,0,0
8053d661146f4a50abb2db2257ab38f5,1,4,0,1,0,3,1,2276,2276,188,0,0,0,0,4
a056559faeb2431eb2b2543d449e19a7,1,4,0,1,0,3,1,1477,1477,127,0,1,0,0,0
b2a0d2bf721142b7a756375f0ba184d6,1,4,0,1,0,2,0,554,554,47,0,0,0,0,0
426f436add9d4b8c9e99efdc66b404fc,1,4,0,1,0,0,3,968.5,774.8,172,0,4,0,0,2
b3378f93da1546c5bc6886831555f40c,1,3,1,0,1,2,0,892.3333333333334,535.4,338,0,0,0,0,16
5185a870a82d4076a003c9bd2be09da4,1,3,1,0,0,2,1,942.3333333333334,565.4,44,0,0,0,0,1
467f6a2624674c8e8ace5c5d080560ee,1,3,1,0,0,2,1,660,660,71,0,0,0,0,0
2b54e43bf5104002a85b2cfa9988c429,1,3,1,0,0,2,0,719.3333333333334,719.3333333333334,52,0,0,0,0,2
f00b5eb95fdb401b8ce9c28be6d004ea,1,3,1,0,0,1,1,646.6666666666666,646.6666666666666,126,0,0,0,0,0
f92d15fdfd794f4d8ad82f6ae34a2ee4,1,3,1,0,0,1,0,145.66666666666666,17.48,154,0,0,0,0,3
053eac8cf2dd48df88a6704e2156684c,1,3,1,0,0,1,0,123.5,16.466666666666665,47,0,0,0,0,5
095c8f6fe6234f7894599126c2199360,1,3,1,0,0,0,2,1252.6666666666667,1252.6666666666667,41,0,0,0,0,0
653d81f9df954381a5e36bc7829cb3a5,1,3,1,0,0,0,0,520.6666666666666,65.08333333333333,290,0,0,0,0,0
544b8aaccd20ae4b9a6ed22e39f6f347,1,3,0,1,0,2,1,768.6666666666666,768.6666666666666,105,0,0,0,0,0
0a6d502729644ce98fa21d64c5951af8,1,3,0,1,0,2,0,500,500,43,0,0,0,0,0
d99b8f5e9aea44e093f9e5a215d4af52,1,3,0,1,0,1,2,1131.3333333333333,1131.3333333333333,145,0,0,0,0,0
c817772313ed495aa8da54aae641d13e,1,3,0,1,0,1,0,838.6666666666666,838.6666666666666,72,0,0,0,0,0
845a8c13517f60459d3eb86cf0da370a,1,3,0,1,0,1,0,618,463.5,108,0,0,0,0,0
da1388f8961541efa4499638c9dbd9fa,1,3,0,1,0,1,0,366.3333333333333,366.3333333333333,72,0,0,0,0,0
77d20fbd617eba42a48d01822684da62,1,3,0,1,0,0,0,348,54.94736842105263,124,0,0,0,0,0
7111c7ffedc2492bba998f07d4115d2e,1,2,1,1,0,0,1,701.5,701.5,141,0,0,0,0,0
be605b26b27e40379e7b6145916450e9,1,2,1,0,1,1,0,351,351,31,0,0,0,0,0
61bee8e65d1442df823b51044a871266,1,2,1,0,1,1,0,318.5,212.33333333333334,43,0,0,0,0,0
8a234dc87103451abef1700417b63a26,1,2,1,0,1,1,0,63,63,23,0,0,0,0,0
847f9987790c41f9b86f48248ceef1d8,1,2,1,0,1,1,0,47.5,47.5,16,0,0,0,0,0
ca907eb299de4ccd84f17c47ba49b4fb,1,2,1,0,1,0,1,634.5,634.5,87,0,0,0,0,0
8a3d623866e541999d4d3e1be09d7b0f,1,2,1,0,1,0,1,139.5,139.5,35,0,0,0,0,0
5df60bc488e5456dac18152f7657333e,1,2,1,0,1,0,0,217.5,217.5,100,0,0,0,0,0
670e699a4ea641cab7e4651a3a0a35a8,1,2,1,0,0,2,0,2438,2438,89,0,0,0,0,0
523b2fbb64a841738d28cce2712e5c27,1,2,1,0,0,2,0,1831.5,1831.5,44,0,0,0,0,0
4c79f74c95ab4f32b153a5882dd4d267,1,2,1,0,0,2,0,1346,1346,134,0,0,0,0,3
