#=================================================================
# Freeform
# Date: May 12 2019 - May 25 2019
"# Segments: Vtr: Non-Microsoft Traffic, Exclude Revenue > 10000, Market - EN-US"
#=================================================================


##############################################
# Freeform Table
##############################################
,Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit)
,Order Exists,Visits,Visits,Visits,Visits,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4)
,Visits,Visits,Office.com,Store,O365 Web,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton
MC1 (Visitor ID) (v10),8521,162830,8400,101094,33817,358.5558164625246,267.9447541761079,1502161,924,3850,1568,2198,13678
b861895321be412f8da73c59395f5ccc,0,1,0,0,1,,,0,0,0,0,0,0
6e5a0379c4ab4581819c2435b5b16de6,0,1,0,0,1,,,0,0,0,0,0,0
1132b9eb7f14473cb18f3fb1d9c47653,0,1,0,0,1,,,0,0,0,0,0,0
eb7e9c63d7d94e59a39487a5f41ff024,0,1,0,0,1,,,0,0,0,0,0,0
23caea9604f34a21bbc2a5665eddbfee,0,1,0,0,1,,,0,0,0,0,0,0
eac3740486af44028bde1ba062da8bb4,0,1,0,0,1,,,0,0,0,0,0,0
f403339f30834d358875c02fcd0b0912,0,1,0,0,1,,,0,0,0,0,0,0
bd8aaff731f6466fb1098f08b3df068f,0,1,0,0,1,,,0,0,0,0,0,0
40d5bc40470446ef9cf756c48f3c6c5e,0,1,0,0,1,,,0,0,0,0,0,0
064f61faf2ea4fb88181b46b5530da65,0,1,0,0,1,,,0,0,0,0,0,0
c73a3160d17e4f5fb25b90b5e75e0364,0,1,0,0,1,,,0,0,0,0,0,0
98db65fb282647feaeda8e1ff1cad8d5,0,1,0,0,1,,,0,0,0,0,0,0
b828275135dd40e7a07b7eea0747d313,0,1,0,0,1,,,0,0,0,0,0,0
f78a11b0709e4b8a962417d0b6bd1075,0,1,0,0,1,,,0,0,0,0,0,0
5dfab0c58b9e465f861b96af6d9721db,0,1,0,0,1,,,0,0,0,0,0,0
7b55f64e84cc4e7fa8753afaaac90ec2,0,1,0,0,1,,,0,0,0,0,0,0
45f2a15b253846318e6292bca35e1bd1,0,1,0,0,1,,,0,0,0,0,0,0
