#=================================================================
# Freeform
# Date: May 12 2019 - May 25 2019
"# Segments: Vtr: Non-Microsoft Traffic, Exclude Revenue > 10000, Market - EN-US"
#=================================================================


##############################################
# Freeform Table
##############################################
,Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit)
,Order Exists,Visits,Visits,Visits,Visits,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4)
,Visits,Visits,Office.com,Store,O365 Web,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton
MC1 (Visitor ID) (v10),8521,162830,8400,101094,33817,358.5558164625246,267.9447541761079,1502158,924,3850,1568,2198,13678
2c1b31a5b8bf4f8bae1eac32ba1daf5f,0,1,0,0,0,,,0,0,0,0,0,0
aa6134ebb118416593c538ac2d4696a6,0,1,0,0,0,,,0,0,0,0,0,0
7a3578524a7c46b69ab3f8bf892f1b15,0,1,0,0,0,,,0,0,0,0,0,0
2b927820b27949b78d2c0f03dceca2d4,0,1,0,0,0,,,0,0,0,0,0,0
435c3eb93cc04d7c9b8ad7578cee8416,0,1,0,0,0,,,0,0,0,0,0,0
bdf723acde9841c89f0ed70e43591b77,0,1,0,0,0,,,0,0,0,0,0,0
90294c47f7a61d458cc2ba8143c9d440,0,1,0,0,0,,,0,0,0,0,0,0
fd95e33148eb4cab86ffa23e59962ad1,0,1,0,0,0,,,0,0,0,0,0,0
3e4b2e96c26f4ea3b9e78204255287d5,0,1,0,0,0,,,0,0,0,0,0,0
ef1a6a5078ef4cfabda340c9c54856a0,0,1,0,0,0,,,0,0,0,0,0,0
78e76498dc4b4ec98b095751bc318504,0,1,0,0,0,,,0,0,0,0,0,0
6a316e8b699f424098f57c67a544e15e,0,1,0,0,0,,,0,0,0,0,0,0
11b991da27ac4b60a129a5b22e0b3167,0,1,0,0,0,,,0,0,0,0,0,0
6822f2488dc34858b18ab69b909884b4,0,1,0,0,0,,,0,0,0,0,0,0
0db64da4c72046009bc8d1bbf34bd5a6,0,1,0,0,0,,,0,0,0,0,0,0
cf580cfa19d848ce9799d4f1f51e2254,0,1,0,0,0,,,0,0,0,0,0,0
