#=================================================================
# Freeform
# Date: May 20 2019 - May 20 2019
"# Segments: Vtr: Non-Microsoft Traffic, Exclude Revenue > 10000, Market - EN-US"
#=================================================================


##############################################
# Freeform Table
##############################################
,Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit)
,Order Exists,Order Exists,Device Orders + Office (Visitor),Visits,New Visitors,Return Visitors,Visits,Visits,Visits,Time Spent per Visit (seconds),Delocalized O365 Home (HIT),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4)
,Visits,Visits,Visits,Visits,New Visitors,Return Visitors,Office.com,Store,O365 Web,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton,products.office.com/*-*/try
,Paid Orders_SJ (Visit),Free Revenue,Visits,Visits,New Visitors,Return Visitors,Office.com,Store,O365 Web,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton,products.office.com/*-*/try
MC1 (Visitor ID) (v10),599,161,29,14016,7666,4972,644,8482,2892,352.3379754547828,104.7819287576021,135551,72,322,116,189,1591,1088
f3c42be0089f4c85a08dcf6f7d95325d,0,0,0,1,0,1,0,0,0,1369,1369,2,0,0,0,0,0,0
3a76744e96734b40aaac5d2f2e4379b1,0,0,0,1,0,1,0,0,0,1294,47,70,0,0,0,0,1,0
a8dbe51b06c44546aa94ee1a6941b2d2,0,0,0,1,0,1,0,0,0,1274,14,92,0,0,0,0,7,0
5b360c54181d455f8090870914fd9480,0,0,0,1,0,1,0,0,0,1256,9,45,0,0,0,0,0,0
040fe6a60d944a5a9cb7c2d000788e60,0,0,0,1,0,1,0,0,0,1240,304,0,0,0,0,0,0,0
d95a77d45ab043b9b43ecbb2cddd3cc6,0,0,0,1,0,1,0,0,0,1240,28,52,0,0,0,0,2,0
90a892555e62478ebcac947d956c2963,0,0,0,1,0,1,0,0,0,1218,284,26,0,0,0,0,0,0
801e973f386b46349d913eec39740052,0,0,0,1,0,1,0,0,0,1131,15,21,0,0,0,0,0,0
e113dc8589654f698b7ca785c1646554,0,0,0,1,0,1,0,0,0,1092,,80,0,0,0,0,0,0
707c7674c4e5794c92be96e5ed0ecd58,0,0,0,1,0,1,0,0,0,1052,27,31,0,0,0,0,3,0
e81cdb36f5d642e0b54f0e343f949ff9,0,0,0,1,0,1,0,0,0,963,,15,0,0,0,0,0,0
256fad93baf4488ab264549d02d8c260,0,0,0,1,0,1,0,0,0,924,,1,0,0,0,0,0,0
196e212fc8576a4493add42e0d90845a,0,0,0,1,0,1,0,0,0,857,18,90,0,0,0,0,0,0
be601493685b4729974454a289113d9b,0,0,0,1,0,1,0,0,0,777,,59,0,0,0,0,0,0
d797b334a98b49d7899788b8e4d43e60,0,0,0,1,0,1,0,0,0,774,,80,0,0,0,0,0,0
aa35fd3381124b52b7ed816adb2beacf,0,0,0,1,0,1,0,0,0,770,,33,0,0,0,0,1,0
13b306d91a6f47d5b4556ae8bbb89f68,0,0,0,1,0,1,0,0,0,734,,41,0,0,0,0,0,0
8400e9f9bcb2419bad4ded4333a9d1ba,0,0,0,1,0,1,0,0,0,729,,7,0,0,0,0,0,0
449f2969bf3b4c0083ec7c2b89b41481,0,0,0,1,0,1,0,0,0,684,9.333333333333334,194,0,0,0,0,0,0
e495d93edf574707bf7f3d84d4fbd7b2,0,0,0,1,0,1,0,0,0,655,,38,0,0,0,0,0,0
e4dfe15e40654f209c342594ba9ec5d4,0,0,0,1,0,1,0,0,0,590,,31,0,0,0,0,0,0
6f8c374279924de798f1666dec09829d,0,0,0,1,0,1,0,0,0,561,,4,0,0,0,0,0,0
4f4a6d040db8439897573ff8bbcaee2d,0,0,0,1,0,1,0,0,0,554,10,24,0,0,0,0,0,0
1eb61f0b65de42cb9422ba5568a74da2,0,0,0,1,0,1,0,0,0,546,25,82,0,0,0,0,1,0
2f5df0a3d054423ba432aba5141b6af6,0,0,0,1,0,1,0,0,0,533,15,38,0,0,0,0,1,0
1999dbb060eb4b51ad3f8e3d41ca9b5c,0,0,0,1,0,1,0,0,0,513,,32,0,0,0,0,0,0
d719272423b8400f9af0d9baca04bac3,0,0,0,1,0,1,0,0,0,512,,33,0,0,0,0,0,0
8649107ffd31426289d42339e7693f7b,0,0,0,1,0,1,0,0,0,491,2,5,0,0,0,0,0,0
ee3ee5eda8064226a210531495001212,0,0,0,1,0,1,0,0,0,482,,14,0,1,1,0,0,0
341b947feb2948099585cd663503cba8,0,0,0,1,0,1,0,0,0,458,53,27,0,0,0,0,2,0
47a029513ca14d58bd389ed29113b2ce,0,0,0,1,0,1,0,0,0,441,,5,0,0,0,0,0,0
1be78a2295d248e0a1352723a4f8a164,0,0,0,1,0,1,0,0,0,432,,1,0,0,0,0,0,0
a781241ff1404d6581e1a22be10c71bf,0,0,0,1,0,1,0,0,0,398,,4,0,0,0,0,0,0
c28a949c4629406fa56d5ccb3ef4baeb,0,0,0,1,0,1,0,0,0,377,168,40,0,0,0,0,0,0
e658a381323c447b80ecfabe3ecd90ed,0,0,0,1,0,1,0,0,0,364,16,36,0,0,0,0,1,0
aef65a673f9e422c905b5b74290be5a9,0,0,0,1,0,1,0,0,0,356,,12,0,0,0,0,0,0
7e67c05da549774087911576d8185e72,0,0,0,1,0,1,0,0,0,350,,6,0,0,0,0,0,0
34c91c5218ed4d55a099e5ebf4ecee2d,0,0,0,1,0,1,0,0,0,332,,0,0,0,0,0,0,0
8ce790c8935d41afab7614e0432c220c,0,0,0,1,0,1,0,0,0,319,71,22,0,0,0,0,0,0
09730e2fba02c0478bb70e74986e321e,0,0,0,1,0,1,0,0,0,318,,0,0,0,0,0,0,0
5ac1c131cea942dcb5f11e0cdf771a26,0,0,0,1,0,1,0,0,0,315,,19,0,0,0,0,0,0
5bc81c7be0f84ba4aafb3407df3da17a,0,0,0,1,0,1,0,0,0,310,,31,0,0,0,0,0,0
3baa1d89ea434449abe8e724a5c9dab2,0,0,0,1,0,1,0,0,0,308,63,16,0,0,0,0,1,0
abd9348c5ad44b43b30f8df360d3447e,0,0,0,1,0,1,0,0,0,299,,38,0,0,0,0,0,0
6fca3eb7b2de48deb05b19fc810d8eb2,0,0,0,1,0,1,0,0,0,298,,14,0,0,0,0,0,0
c87d8a1582284c37b33f8c25801313c3,0,0,0,1,0,1,0,0,0,285,,12,0,0,0,0,0,0
5bfc54cbd3b64397a75cc897a6b44171,0,0,0,1,0,1,0,0,0,283,178,5,0,0,0,0,0,0
800096c749924288babb49860ca33a90,0,0,0,1,0,1,0,0,0,267,28,25,0,1,0,1,0,0
ac014df2446c402c8795669b1c04a731,0,0,0,1,0,1,0,0,0,265,,4,0,0,0,0,0,0
a7cc0f92535946eab1cf27aba6ee4271,0,0,0,1,0,1,0,0,0,261,,30,0,0,0,0,0,0
824e4b70cf5e4c5f8eee883b5a1e91fc,0,0,0,1,0,1,0,0,0,254,,0,0,0,0,0,0,0
85334d59437e44bd87e48dea9b9bfb4b,0,0,0,1,0,1,0,0,0,253,,16,0,0,0,0,0,0
2a09b7fb6dbf46219eb7e405c9b5c2e3,0,0,0,1,0,1,0,0,0,245,,14,0,0,0,0,0,2
96c40737b68c4fdeba73136cca5b0db3,0,0,0,1,0,1,0,0,0,241,12,11,0,0,0,0,0,0
2df906ec2b094856a360b99c602de6d4,0,0,0,1,0,1,0,0,0,230,,6,0,0,0,0,0,0
f14a1cc841df4331af6432334957b1c3,0,0,0,1,0,1,0,0,0,214,173,5,0,0,0,0,0,0
c16d952d469d4c3bb427d8af61b4d7be,0,0,0,1,0,1,0,0,0,208,,16,0,0,0,0,0,0
34b9ab8ed8c4421f85a20016f5ed1e6a,0,0,0,1,0,1,0,0,0,201,,10,0,0,0,0,0,0
2168c0fde9894da3a20d3bb9e3c54141,0,0,0,1,0,1,0,0,0,200,13,2,0,0,0,0,0,0
1f3d60dcd76a4e3a98835a35ac69b56b,0,0,0,1,0,1,0,0,0,192,5,20,0,0,0,0,0,0
c737b18abe1f45d584c43b9872feec81,0,0,0,1,0,1,0,0,0,177,,4,0,0,0,0,0,0
3e40aba15b4e4845be791a0681e1a235,0,0,0,1,0,1,0,0,0,175,,20,0,0,0,0,0,0
483d01f3ba8f47aaa0a3d568740790ca,0,0,0,1,0,1,0,0,0,174,,9,0,0,0,0,0,0
6144db8351dc42fa8f92f1e8cae88f58,0,0,0,1,0,1,0,0,0,164,17,25,0,0,0,0,0,0
8452d9f7651042338e64fe710ea95214,0,0,0,1,0,1,0,0,0,159,,11,0,0,0,0,0,0
e0118c0e27734ecb93b0a56b1f4f253d,0,0,0,1,0,1,0,0,0,156,,18,0,0,0,0,0,0
bb21ec37a0274ab1b6b772c8dda4ebe5,0,0,0,1,0,1,0,0,0,139,9,14,0,0,0,0,0,0
3b5a24a3ada9224d8688470b3c2cffd0,0,0,0,1,0,1,0,0,0,113,,6,0,0,0,0,0,2
13e2bc075372488795dab9320a8be054,0,0,0,1,0,1,0,0,0,113,,5,0,0,0,0,0,0
ceb1718b6dca4477b66648f3ff4988ac,0,0,0,1,0,1,0,0,0,111,55.5,3,0,0,0,0,0,0
4b1ea637296043ec9860fb19c99a68df,0,0,0,1,0,1,0,0,0,101,12.666666666666666,38,0,0,0,0,3,0
cda420b2ec474553abae9f53c0391902,0,0,0,1,0,1,0,0,0,97,,10,0,0,0,0,0,0
e8433eb5f85848dfbc17f7cc701ce13c,0,0,0,1,0,1,0,0,0,89,,8,0,0,0,0,0,0
