#=================================================================
# Freeform
# Date: May 20 2019 - May 20 2019
"# Segments: Vtr: Non-Microsoft Traffic, Exclude Revenue > 10000, Market - EN-US"
#=================================================================


##############################################
# Freeform Table
##############################################
,Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit)
,Order Exists,Order Exists,Device Orders + Office (Visitor),Visits,New Visitors,Return Visitors,Visits,Visits,Visits,Time Spent per Visit (seconds),Delocalized O365 Home (HIT),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4)
,Visits,Visits,Visits,Visits,New Visitors,Return Visitors,Office.com,Store,O365 Web,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton,products.office.com/*-*/try
,Paid Orders_SJ (Visit),Free Revenue,Visits,Visits,New Visitors,Return Visitors,Office.com,Store,O365 Web,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton,products.office.com/*-*/try
MC1 (Visitor ID) (v10),599,161,29,14016,7666,4972,644,8482,2892,352.3379754547828,104.7819287576021,135551,72,322,116,189,1591,1088
(Low Traffic),417,111,21,13352,7547,4632,622,8267,2661,295.27341445427726,107.2338405356056,95416,54,249,85,158,1187,785
50637eab03a94c59bb460e2e89adf021,0,0,3,3,0,1,0,0,0,663.3333333333334,,145,0,4,4,0,0,0
0ae3949b44364d0d9686d8022b3229f4,0,0,2,2,1,0,0,0,0,540.5,17,7,0,0,0,0,0,0
bb7e2062bd4142a194eaa8818bf04169,1,0,1,1,0,1,0,0,1,1514,28.5,76,0,0,0,0,0,0
c3d457532b31409da308173a867c96b5,1,0,1,1,0,1,0,0,0,2544,21,114,0,0,0,0,0,0
0bc59fdb65094105bb31a39094df49d4,1,0,1,1,0,1,0,0,0,865,,34,0,0,0,0,0,2
5f1827ae627a4bb79a221860eac95856,0,1,1,1,1,0,1,0,0,,,1,0,0,0,0,0,0
de1954cb3f34428999a3994f0b7d8ab9,0,1,1,1,0,1,0,1,0,229,,10,0,0,0,0,0,0
fcf71090399e4459ba37e7428a333c83,0,1,1,1,0,1,0,0,1,432,,61,0,0,0,0,0,1
890326e1a4c3498796fe30852e9d6679,0,0,1,1,1,0,0,0,1,211,67,10,0,0,0,0,0,0
ef2a39b59fff44f1a615eda2727adf6a,0,0,1,1,1,0,0,0,0,1241,40,63,0,0,0,0,0,0
69856e7b67924c26b77b999ee709cc70,0,0,1,1,1,0,0,0,0,493,,1,0,0,0,0,1,0
ab8fe368b0a73f4f8b6e9fa6a3bd75cc,0,0,1,1,0,1,0,1,0,7,,1,0,0,0,0,0,0
ecf23e9943d64e949e7dd3b0fd268fdc,0,0,1,1,0,1,0,0,1,6,,1,0,0,0,0,0,0
832d0bf4fe164eef8e3ea56982693229,0,0,1,1,0,1,0,0,1,5,,1,0,0,0,0,0,0
efea608643684c0cb10b5899e86b22f7,0,0,1,1,0,1,0,0,0,387,19,7,0,1,0,0,3,0
33177a62ca104b4e97006eb2da791a42,0,0,1,1,0,1,0,0,0,18,,6,0,0,0,0,0,0
426f436add9d4b8c9e99efdc66b404fc,1,0,0,4,0,1,0,0,3,968.5,53.333333333333336,172,0,4,0,0,2,0
d99b8f5e9aea44e093f9e5a215d4af52,1,0,0,3,0,1,0,1,2,1131.3333333333333,58.666666666666664,145,0,0,0,0,0,0
aadab6791a1249ad98ed26f2b1c3178a,1,0,0,2,1,0,0,1,1,717,26,61,0,0,0,0,0,0
8ca21e399425468387c4ab4fcc7d6402,1,0,0,2,1,0,0,1,0,513.5,33,63,0,0,0,0,1,0
3e8af28fa7f3417bb7d08c4cd5870656,1,0,0,2,1,0,0,1,0,38,,6,0,0,0,0,0,0
d0016d67ae1b415e9e06555e77e31f3a,1,0,0,2,1,0,0,0,2,1242.5,50,118,0,0,0,0,4,0
3a62363a4cfdff438b42e6b26661e836,1,0,0,2,1,0,0,0,2,699.5,7,236,0,0,0,0,0,5
e2a4333528974040aa839f090677d0c4,1,0,0,2,1,0,0,0,2,661,757,46,0,0,0,0,0,0
2420e118edb94d8ba95ab7a642ec0b22,1,0,0,2,1,0,0,0,0,783.5,23,95,0,0,0,0,1,0
6026a590bdc84113a3b466dcd85f0482,1,0,0,2,0,1,1,1,0,401.5,590,68,0,0,0,0,0,0
9fbaf508a44641f8b8e1bc87c9ff6b9e,1,0,0,2,0,1,0,2,0,351,41,147,0,0,0,0,0,0
5852ffa8533b49b8b0734f6cadec4ef0,1,0,0,2,0,1,0,0,0,563.5,113,96,0,0,0,0,1,0
1820d4fa82034ce7ba215ab9bc03b972,1,0,0,1,1,0,1,0,0,3630,15,50,0,0,0,0,1,0
23676d54473c4bf5b8844b02cc5971a5,1,0,0,1,1,0,1,0,0,1440,72,56,0,0,0,0,0,0
4fc7e9c2aa9b42e9a142ed6ef2143ef9,1,0,0,1,1,0,1,0,0,1369,26,105,0,0,0,0,1,0
c4ef2d23d53a406686a45417cd42743a,1,0,0,1,1,0,1,0,0,756,11,48,0,0,0,0,0,0
218dd64740f84a398e907cf2f7c63f38,1,0,0,1,1,0,1,0,0,739,,37,0,0,0,0,0,0
dd23dfffa72e41de888cb7df3990b1d2,1,0,0,1,1,0,1,0,0,370,,31,0,0,0,0,0,0
be1437d2abbf4d81b3c9dcdaa69bcec4,1,0,0,1,1,0,1,0,0,272,,50,0,0,0,0,0,0
e1dc413f5bba4f69a1ef728766222989,1,0,0,1,1,0,1,0,0,225,5.666666666666667,67,0,0,0,0,1,0
374d508983384951afc88c25291c5c04,1,0,0,1,1,0,1,0,0,184,5,39,0,0,0,0,0,0
c8c2d3194443483b8237ba3b5a98c61d,1,0,0,1,1,0,1,0,0,1,,3,0,0,0,0,0,0
e039dac17fcc4143a3e3dadfa792bdc7,1,0,0,1,1,0,1,0,0,,,31,0,0,0,0,0,0
ab8a61e364664d4b8d933562c471ed36,1,0,0,1,1,0,0,1,0,1522,12.333333333333334,82,0,0,0,0,1,0
eef92dd6a2ad480f95134eaaf439f74e,1,0,0,1,1,0,0,1,0,964,,67,0,0,0,0,1,0
6673915b622e479ca11ba7376a43e2e3,1,0,0,1,1,0,0,1,0,791,,80,0,0,0,0,0,0
010dd8376292450eb891b10d3fc0b57a,1,0,0,1,1,0,0,1,0,674,,27,0,0,0,0,1,0
f600b3c2de5a42c7ab750d6e3377164f,1,0,0,1,1,0,0,1,0,658,,17,0,0,0,0,0,0
f0f8c26601c1469ebcfe2fd1a17ea84d,1,0,0,1,1,0,0,1,0,618,35,41,0,0,0,0,2,0
92e6e7eeea044d09a3b467546cebd36a,1,0,0,1,1,0,0,1,0,501,21,97,0,0,0,0,0,0
a8b9aefab24444c3909641a2819114a8,1,0,0,1,1,0,0,1,0,501,,55,0,0,0,0,2,0
703f0ac08a364a85a252e7e091b6fe9e,1,0,0,1,1,0,0,1,0,485,41,32,0,1,0,0,2,0
13eadae69d1a468aa12be97a84ed67cf,1,0,0,1,1,0,0,1,0,459,,31,0,0,0,0,0,0
49af6db4d87c45419af4a092b4461c88,1,0,0,1,1,0,0,1,0,442,,28,0,0,0,0,0,0
461d1df0c6bb4f53993e66e4e1d9914c,1,0,0,1,1,0,0,1,0,311,5.75,25,0,0,0,0,1,0
86dd9b5b6dfc43f7b06b4025979c7294,1,0,0,1,1,0,0,1,0,309,,42,0,0,0,0,0,0
0a79dd234ec04850822a069ac357315f,1,0,0,1,1,0,0,1,0,289,,24,0,0,0,0,0,0
3b26ded2f80b43ac9fe107180c42f2e0,1,0,0,1,1,0,0,1,0,283,,23,0,0,0,0,0,0
37ad666d9cd0422db8e052dc0cd23303,1,0,0,1,1,0,0,1,0,217,,23,0,0,0,0,0,0
5af488c875a24b70b4c39fef40d87d8d,1,0,0,1,1,0,0,1,0,214,12,15,0,0,0,0,0,0
7b2e14348fa44cdb84400b237b7ec331,1,0,0,1,1,0,0,1,0,204,,18,0,0,0,0,0,0
8516add47d7148938b6831ac0968bb8a,1,0,0,1,1,0,0,1,0,201,60,7,0,0,0,0,0,0
aca26df4297647229ee45ad287af38a0,1,0,0,1,1,0,0,1,0,195,,25,0,0,0,0,0,0
a0a99ebcb31049bf83fc126bf16d46bb,1,0,0,1,1,0,0,1,0,165,2,31,0,0,0,0,0,0
ee3f5e10652e452ebd3572199a6e8127,1,0,0,1,1,0,0,1,0,150,,27,0,0,0,0,0,0
2df089db5346468d8bc61d6e76ace436,1,0,0,1,1,0,0,1,0,142,,18,0,0,0,0,0,0
16e0b01a4d364a2487501e251ed699a9,1,0,0,1,1,0,0,1,0,96,,4,0,0,0,0,0,0
76eeffb7e35e465f841689df49d33a90,1,0,0,1,1,0,0,1,0,91,,20,0,0,0,0,0,0
34f312c5db91487f83029dc52cc0fcbe,1,0,0,1,1,0,0,1,0,84,,18,0,0,0,0,0,0
0191e9aa6bd048c5bc2013ccaf872174,1,0,0,1,1,0,0,1,0,76,,7,0,0,0,0,0,0
5f53710be4014b56aea3fd06e241ec91,1,0,0,1,1,0,0,1,0,59,,8,0,0,0,0,0,0
20200ed254144f838e642ed47451201c,1,0,0,1,1,0,0,1,0,50,,13,0,0,0,0,0,0
7984018e26cb494c9beb2fac729324d4,1,0,0,1,1,0,0,1,0,44,,5,0,0,0,0,0,0
63834b3d4307456e88b033b3200613ad,1,0,0,1,1,0,0,1,0,27,,14,0,0,0,0,0,0
77c27953c857477097044045a97d51ce,1,0,0,1,1,0,0,1,0,23,,10,0,0,0,0,0,0
