Month,diet,gym,finance
2004-01,100,30,49
2004-02,74,27,48
2004-03,69,24,45
2004-04,70,23,45
2004-05,71,23,44
2004-06,66,23,46
2004-07,63,24,45
2004-08,59,27,43
2004-09,57,25,45
2004-10,51,23,42
2004-11,49,24,43
2004-12,43,24,40
2005-01,64,33,45
2005-02,55,29,46
2005-03,57,27,45
2005-04,56,24,44
2005-05,60,24,43
2005-06,54,25,44
2005-07,53,25,43
2005-08,52,27,45
2005-09,46,27,46
2005-10,46,26,43
2005-11,44,24,42
2005-12,39,24,39
2006-01,65,34,45
2006-02,52,29,44
2006-03,49,28,47
2006-04,49,26,48
2006-05,49,26,45
2006-06,52,26,46
2006-07,52,27,44
2006-08,50,30,45
2006-09,45,31,46
2006-10,43,27,45
2006-11,44,26,44
2006-12,36,27,40
2007-01,57,35,47
2007-02,49,33,49
2007-03,51,30,49
2007-04,52,32,48
2007-05,51,32,48
2007-06,48,30,48
2007-07,49,30,49
2007-08,44,32,53
2007-09,46,32,52
2007-10,44,28,52
2007-11,41,27,52
2007-12,35,26,43
2008-01,52,35,53
2008-02,46,30,51
2008-03,46,29,53
2008-04,48,27,51
2008-05,45,27,48
2008-06,44,27,50
2008-07,45,29,53
2008-08,44,31,47
2008-09,41,32,61
2008-10,42,28,71
2008-11,40,28,58
2008-12,37,27,53
2009-01,52,36,54
2009-02,46,30,58
2009-03,49,30,61
2009-04,50,28,57
2009-05,47,27,53
2009-06,47,28,56
2009-07,47,29,57
2009-08,50,30,58
2009-09,45,31,59
2009-10,44,27,56
2009-11,43,27,51
2009-12,39,26,47
2010-01,59,35,52
2010-02,51,31,54
2010-03,51,30,55
2010-04,52,30,56
2010-05,50,28,55
2010-06,48,28,52
2010-07,49,30,51
2010-08,49,31,51
2010-09,47,32,53
2010-10,45,29,50
2010-11,43,29,50
2010-12,39,28,45
2011-01,61,39,51
2011-02,51,34,51
2011-03,54,33,52
2011-04,58,32,50
2011-05,57,30,49
2011-06,55,32,49
2011-07,53,31,47
2011-08,52,34,57
2011-09,51,35,52
2011-10,49,33,50
2011-11,47,33,47
2011-12,43,32,41
2012-01,65,44,45
2012-02,56,37,48
2012-03,56,36,49
2012-04,56,34,46
2012-05,56,34,47
2012-06,53,35,45
2012-07,56,36,43
2012-08,53,37,46
2012-09,53,39,47
2012-10,47,34,46
2012-11,46,34,43
2012-12,42,33,40
2013-01,65,42,45
2013-02,59,39,47
2013-03,59,37,46
2013-04,58,37,49
2013-05,55,36,47
2013-06,55,37,44
2013-07,53,38,46
2013-08,51,40,45
2013-09,53,40,47
2013-10,48,37,48
2013-11,45,36,44
2013-12,42,37,40
2014-01,62,48,46
2014-02,53,42,47
2014-03,53,42,45
2014-04,53,41,47
2014-05,50,39,44
2014-06,49,39,43
2014-07,49,40,46
2014-08,46,42,44
2014-09,46,41,49
2014-10,43,38,48
2014-11,43,38,43
2014-12,39,38,42
2015-01,57,49,46
2015-02,48,44,47
2015-03,50,44,47
2015-04,52,43,46
2015-05,49,41,43
2015-06,49,42,46
2015-07,46,43,46
2015-08,47,44,47
2015-09,44,45,48
2015-10,42,40,47
2015-11,38,41,42
2015-12,37,41,41
2016-01,52,52,45
2016-02,48,47,47
2016-03,48,47,43
2016-04,47,46,44
2016-05,47,46,41
2016-06,44,46,44
2016-07,43,58,41
2016-08,47,55,41
2016-09,43,50,43
2016-10,39,44,40
2016-11,38,45,43
2016-12,36,44,38
2017-01,54,56,44
2017-02,57,50,44
2017-03,51,49,44
2017-04,50,48,43
2017-05,47,48,44
2017-06,47,50,43
2017-07,50,52,43
2017-08,46,51,42
2017-09,43,49,47
2017-10,44,45,47
2017-11,43,48,47
2017-12,39,46,50
2018-01,59,58,53
2018-02,52,50,49
2018-03,55,50,48
2018-04,56,50,48
2018-05,55,48,46
2018-06,52,50,45
2018-07,53,50,44
2018-08,51,50,47
2018-09,48,51,47
2018-10,44,47,49
2018-11,43,46,43
2018-12,42,48,40
2019-01,64,59,45
2019-02,53,52,47
2019-03,51,52,47
